INFO:root:Epoch: 1, Train: [Loss: 596.004, Acc: 24.507], Test: [Loss: 619.196, Acc: 24.884]
INFO:root:Epoch: 2, Train: [Loss: 590.235, Acc: 24.306], Test: [Loss: 613.344, Acc: 24.766]
INFO:root:Epoch: 3, Train: [Loss: 581.152, Acc: 24.193], Test: [Loss: 607.651, Acc: 24.651]
INFO:root:Epoch: 4, Train: [Loss: 576.269, Acc: 24.078], Test: [Loss: 602.269, Acc: 24.541]
INFO:root:Epoch: 5, Train: [Loss: 569.182, Acc: 23.970], Test: [Loss: 597.133, Acc: 24.436]
INFO:root:Epoch: 6, Train: [Loss: 566.101, Acc: 23.869], Test: [Loss: 592.135, Acc: 24.334]
INFO:root:Epoch: 7, Train: [Loss: 559.904, Acc: 23.770], Test: [Loss: 587.184, Acc: 24.232]
INFO:root:Epoch: 8, Train: [Loss: 555.474, Acc: 23.642], Test: [Loss: 582.322, Acc: 24.131]
INFO:root:Epoch: 9, Train: [Loss: 552.298, Acc: 23.564], Test: [Loss: 577.582, Acc: 24.033]
INFO:root:Epoch: 10, Train: [Loss: 548.650, Acc: 23.454], Test: [Loss: 572.968, Acc: 23.937]
INFO:root:Epoch: 11, Train: [Loss: 542.554, Acc: 23.346], Test: [Loss: 568.473, Acc: 23.843]
INFO:root:Epoch: 12, Train: [Loss: 540.105, Acc: 23.247], Test: [Loss: 564.091, Acc: 23.751]
INFO:root:Epoch: 13, Train: [Loss: 534.591, Acc: 23.166], Test: [Loss: 559.862, Acc: 23.661]
INFO:root:Epoch: 14, Train: [Loss: 529.531, Acc: 23.070], Test: [Loss: 555.783, Acc: 23.575]
INFO:root:Epoch: 15, Train: [Loss: 528.443, Acc: 22.992], Test: [Loss: 551.869, Acc: 23.492]
INFO:root:Epoch: 16, Train: [Loss: 521.115, Acc: 22.904], Test: [Loss: 548.132, Acc: 23.412]
INFO:root:Epoch: 17, Train: [Loss: 518.439, Acc: 22.819], Test: [Loss: 544.582, Acc: 23.336]
INFO:root:Epoch: 18, Train: [Loss: 515.280, Acc: 22.744], Test: [Loss: 541.208, Acc: 23.264]
INFO:root:Epoch: 19, Train: [Loss: 512.832, Acc: 22.685], Test: [Loss: 538.045, Acc: 23.196]
INFO:root:Epoch: 20, Train: [Loss: 509.529, Acc: 22.621], Test: [Loss: 535.074, Acc: 23.132]
INFO:root:Epoch: 21, Train: [Loss: 505.507, Acc: 22.550], Test: [Loss: 532.311, Acc: 23.072]
INFO:root:Epoch: 22, Train: [Loss: 502.958, Acc: 22.491], Test: [Loss: 529.735, Acc: 23.016]
INFO:root:Epoch: 23, Train: [Loss: 500.772, Acc: 22.443], Test: [Loss: 527.339, Acc: 22.964]
INFO:root:Epoch: 24, Train: [Loss: 499.424, Acc: 22.392], Test: [Loss: 525.119, Acc: 22.915]
INFO:root:Epoch: 25, Train: [Loss: 498.427, Acc: 22.359], Test: [Loss: 523.056, Acc: 22.870]
INFO:root:Epoch: 26, Train: [Loss: 495.540, Acc: 22.322], Test: [Loss: 521.166, Acc: 22.829]
INFO:root:Epoch: 27, Train: [Loss: 493.722, Acc: 22.280], Test: [Loss: 519.445, Acc: 22.791]
INFO:root:Epoch: 28, Train: [Loss: 493.076, Acc: 22.246], Test: [Loss: 517.882, Acc: 22.757]
INFO:root:Epoch: 29, Train: [Loss: 491.994, Acc: 22.217], Test: [Loss: 516.458, Acc: 22.726]
INFO:root:Epoch: 30, Train: [Loss: 491.587, Acc: 22.196], Test: [Loss: 515.161, Acc: 22.697]
INFO:root:Epoch: 31, Train: [Loss: 490.390, Acc: 22.166], Test: [Loss: 513.979, Acc: 22.671]
INFO:root:Epoch: 32, Train: [Loss: 488.346, Acc: 22.145], Test: [Loss: 512.893, Acc: 22.647]
INFO:root:Epoch: 33, Train: [Loss: 488.725, Acc: 22.129], Test: [Loss: 511.898, Acc: 22.625]
INFO:root:Epoch: 34, Train: [Loss: 486.737, Acc: 22.106], Test: [Loss: 510.987, Acc: 22.605]
INFO:root:Epoch: 35, Train: [Loss: 487.466, Acc: 22.092], Test: [Loss: 510.127, Acc: 22.586]
INFO:root:Epoch: 36, Train: [Loss: 486.678, Acc: 22.076], Test: [Loss: 509.312, Acc: 22.568]
INFO:root:Epoch: 37, Train: [Loss: 485.008, Acc: 22.066], Test: [Loss: 508.525, Acc: 22.550]
INFO:root:Epoch: 38, Train: [Loss: 484.441, Acc: 22.050], Test: [Loss: 507.755, Acc: 22.533]
INFO:root:Epoch: 39, Train: [Loss: 484.351, Acc: 22.037], Test: [Loss: 506.985, Acc: 22.516]
INFO:root:Epoch: 40, Train: [Loss: 484.224, Acc: 22.032], Test: [Loss: 506.201, Acc: 22.499]
INFO:root:Epoch: 41, Train: [Loss: 484.654, Acc: 22.014], Test: [Loss: 505.393, Acc: 22.481]
INFO:root:Epoch: 42, Train: [Loss: 483.869, Acc: 22.005], Test: [Loss: 504.541, Acc: 22.462]
INFO:root:Epoch: 43, Train: [Loss: 483.576, Acc: 21.989], Test: [Loss: 503.641, Acc: 22.442]
INFO:root:Epoch: 44, Train: [Loss: 483.446, Acc: 21.992], Test: [Loss: 502.677, Acc: 22.420]
INFO:root:Epoch: 45, Train: [Loss: 480.995, Acc: 21.962], Test: [Loss: 501.640, Acc: 22.397]
INFO:root:Epoch: 46, Train: [Loss: 479.448, Acc: 21.936], Test: [Loss: 500.532, Acc: 22.373]
INFO:root:Epoch: 47, Train: [Loss: 478.750, Acc: 21.913], Test: [Loss: 499.347, Acc: 22.346]
INFO:root:Epoch: 48, Train: [Loss: 478.803, Acc: 21.905], Test: [Loss: 498.089, Acc: 22.318]
INFO:root:Epoch: 49, Train: [Loss: 478.511, Acc: 21.891], Test: [Loss: 496.748, Acc: 22.288]
INFO:root:Epoch: 50, Train: [Loss: 476.423, Acc: 21.847], Test: [Loss: 495.330, Acc: 22.256]
INFO:root:Epoch: 51, Train: [Loss: 477.019, Acc: 21.836], Test: [Loss: 493.843, Acc: 22.223]
INFO:root:Epoch: 52, Train: [Loss: 473.799, Acc: 21.797], Test: [Loss: 492.286, Acc: 22.188]
INFO:root:Epoch: 53, Train: [Loss: 473.152, Acc: 21.760], Test: [Loss: 490.670, Acc: 22.151]
INFO:root:Epoch: 54, Train: [Loss: 472.185, Acc: 21.738], Test: [Loss: 488.983, Acc: 22.113]
INFO:root:Epoch: 55, Train: [Loss: 470.666, Acc: 21.710], Test: [Loss: 487.242, Acc: 22.074]
INFO:root:Epoch: 56, Train: [Loss: 469.440, Acc: 21.676], Test: [Loss: 485.446, Acc: 22.033]
INFO:root:Epoch: 57, Train: [Loss: 468.516, Acc: 21.642], Test: [Loss: 483.607, Acc: 21.991]
INFO:root:Epoch: 58, Train: [Loss: 465.523, Acc: 21.614], Test: [Loss: 481.728, Acc: 21.948]
INFO:root:Epoch: 59, Train: [Loss: 465.081, Acc: 21.572], Test: [Loss: 479.808, Acc: 21.905]
INFO:root:Epoch: 60, Train: [Loss: 462.320, Acc: 21.530], Test: [Loss: 477.865, Acc: 21.860]
INFO:root:Epoch: 61, Train: [Loss: 463.412, Acc: 21.505], Test: [Loss: 475.894, Acc: 21.815]
INFO:root:Epoch: 62, Train: [Loss: 460.108, Acc: 21.462], Test: [Loss: 473.887, Acc: 21.769]
INFO:root:Epoch: 63, Train: [Loss: 457.749, Acc: 21.416], Test: [Loss: 471.866, Acc: 21.722]
INFO:root:Epoch: 64, Train: [Loss: 457.810, Acc: 21.380], Test: [Loss: 469.842, Acc: 21.676]
INFO:root:Epoch: 65, Train: [Loss: 456.173, Acc: 21.348], Test: [Loss: 467.816, Acc: 21.629]
INFO:root:Epoch: 66, Train: [Loss: 453.889, Acc: 21.296], Test: [Loss: 465.793, Acc: 21.582]
INFO:root:Epoch: 67, Train: [Loss: 452.637, Acc: 21.275], Test: [Loss: 463.777, Acc: 21.535]
INFO:root:Epoch: 68, Train: [Loss: 451.482, Acc: 21.226], Test: [Loss: 461.775, Acc: 21.489]
INFO:root:Epoch: 69, Train: [Loss: 448.779, Acc: 21.199], Test: [Loss: 459.787, Acc: 21.443]
INFO:root:Epoch: 70, Train: [Loss: 447.164, Acc: 21.154], Test: [Loss: 457.813, Acc: 21.397]
INFO:root:Epoch: 71, Train: [Loss: 445.971, Acc: 21.117], Test: [Loss: 455.861, Acc: 21.351]
INFO:root:Epoch: 72, Train: [Loss: 444.988, Acc: 21.079], Test: [Loss: 453.933, Acc: 21.306]
INFO:root:Epoch: 73, Train: [Loss: 443.825, Acc: 21.054], Test: [Loss: 452.024, Acc: 21.261]
INFO:root:Epoch: 74, Train: [Loss: 440.994, Acc: 21.013], Test: [Loss: 450.132, Acc: 21.216]
INFO:root:Epoch: 75, Train: [Loss: 440.381, Acc: 20.980], Test: [Loss: 448.256, Acc: 21.172]
INFO:root:Epoch: 76, Train: [Loss: 438.088, Acc: 20.951], Test: [Loss: 446.393, Acc: 21.128]
INFO:root:Epoch: 77, Train: [Loss: 438.975, Acc: 20.921], Test: [Loss: 444.537, Acc: 21.084]
INFO:root:Epoch: 78, Train: [Loss: 436.402, Acc: 20.890], Test: [Loss: 442.691, Acc: 21.040]
