INFO:root:Epoch: 1, Train: [Loss: 1570.984, Acc: 39.543], Test: [Loss: 1391.139, Acc: 37.298]
INFO:root:Epoch: 2, Train: [Loss: 1555.225, Acc: 39.386], Test: [Loss: 1383.115, Acc: 37.190]
INFO:root:Epoch: 3, Train: [Loss: 1549.609, Acc: 39.287], Test: [Loss: 1374.831, Acc: 37.079]
INFO:root:Epoch: 4, Train: [Loss: 1539.212, Acc: 39.172], Test: [Loss: 1366.860, Acc: 36.971]
INFO:root:Epoch: 5, Train: [Loss: 1526.132, Acc: 39.045], Test: [Loss: 1358.990, Acc: 36.864]
INFO:root:Epoch: 6, Train: [Loss: 1519.151, Acc: 38.945], Test: [Loss: 1351.050, Acc: 36.757]
INFO:root:Epoch: 7, Train: [Loss: 1518.693, Acc: 38.835], Test: [Loss: 1343.169, Acc: 36.649]
INFO:root:Epoch: 8, Train: [Loss: 1507.362, Acc: 38.728], Test: [Loss: 1335.390, Acc: 36.543]
INFO:root:Epoch: 9, Train: [Loss: 1492.275, Acc: 38.610], Test: [Loss: 1327.924, Acc: 36.441]
INFO:root:Epoch: 10, Train: [Loss: 1488.018, Acc: 38.511], Test: [Loss: 1320.740, Acc: 36.342]
INFO:root:Epoch: 11, Train: [Loss: 1485.460, Acc: 38.408], Test: [Loss: 1313.793, Acc: 36.246]
INFO:root:Epoch: 12, Train: [Loss: 1478.800, Acc: 38.296], Test: [Loss: 1307.261, Acc: 36.156]
INFO:root:Epoch: 13, Train: [Loss: 1464.177, Acc: 38.209], Test: [Loss: 1301.042, Acc: 36.070]
INFO:root:Epoch: 14, Train: [Loss: 1453.898, Acc: 38.110], Test: [Loss: 1295.186, Acc: 35.989]
INFO:root:Epoch: 15, Train: [Loss: 1456.402, Acc: 38.034], Test: [Loss: 1289.683, Acc: 35.912]
INFO:root:Epoch: 16, Train: [Loss: 1440.351, Acc: 37.950], Test: [Loss: 1284.537, Acc: 35.840]
INFO:root:Epoch: 17, Train: [Loss: 1439.889, Acc: 37.858], Test: [Loss: 1279.648, Acc: 35.772]
INFO:root:Epoch: 18, Train: [Loss: 1435.675, Acc: 37.783], Test: [Loss: 1275.047, Acc: 35.708]
INFO:root:Epoch: 19, Train: [Loss: 1426.018, Acc: 37.706], Test: [Loss: 1270.685, Acc: 35.647]
INFO:root:Epoch: 20, Train: [Loss: 1417.304, Acc: 37.632], Test: [Loss: 1266.548, Acc: 35.589]
INFO:root:Epoch: 21, Train: [Loss: 1420.342, Acc: 37.565], Test: [Loss: 1262.582, Acc: 35.533]
INFO:root:Epoch: 22, Train: [Loss: 1404.545, Acc: 37.498], Test: [Loss: 1258.819, Acc: 35.480]
INFO:root:Epoch: 23, Train: [Loss: 1404.071, Acc: 37.430], Test: [Loss: 1255.247, Acc: 35.429]
INFO:root:Epoch: 24, Train: [Loss: 1404.329, Acc: 37.365], Test: [Loss: 1251.827, Acc: 35.381]
INFO:root:Epoch: 25, Train: [Loss: 1392.891, Acc: 37.302], Test: [Loss: 1248.520, Acc: 35.334]
INFO:root:Epoch: 26, Train: [Loss: 1391.036, Acc: 37.236], Test: [Loss: 1245.338, Acc: 35.289]
INFO:root:Epoch: 27, Train: [Loss: 1385.283, Acc: 37.178], Test: [Loss: 1242.243, Acc: 35.245]
INFO:root:Epoch: 28, Train: [Loss: 1390.668, Acc: 37.112], Test: [Loss: 1239.215, Acc: 35.202]
INFO:root:Epoch: 29, Train: [Loss: 1382.631, Acc: 37.050], Test: [Loss: 1236.273, Acc: 35.161]
INFO:root:Epoch: 30, Train: [Loss: 1370.666, Acc: 36.995], Test: [Loss: 1233.411, Acc: 35.120]
INFO:root:Epoch: 31, Train: [Loss: 1374.809, Acc: 36.938], Test: [Loss: 1230.570, Acc: 35.079]
INFO:root:Epoch: 32, Train: [Loss: 1364.113, Acc: 36.881], Test: [Loss: 1227.763, Acc: 35.039]
INFO:root:Epoch: 33, Train: [Loss: 1361.330, Acc: 36.830], Test: [Loss: 1224.928, Acc: 34.999]
INFO:root:Epoch: 34, Train: [Loss: 1350.974, Acc: 36.763], Test: [Loss: 1222.103, Acc: 34.959]
INFO:root:Epoch: 35, Train: [Loss: 1347.841, Acc: 36.716], Test: [Loss: 1219.279, Acc: 34.918]
INFO:root:Epoch: 36, Train: [Loss: 1348.363, Acc: 36.661], Test: [Loss: 1216.434, Acc: 34.877]
INFO:root:Epoch: 37, Train: [Loss: 1344.648, Acc: 36.604], Test: [Loss: 1213.564, Acc: 34.836]
INFO:root:Epoch: 38, Train: [Loss: 1341.580, Acc: 36.550], Test: [Loss: 1210.676, Acc: 34.795]
INFO:root:Epoch: 39, Train: [Loss: 1337.843, Acc: 36.494], Test: [Loss: 1207.728, Acc: 34.752]
INFO:root:Epoch: 40, Train: [Loss: 1325.014, Acc: 36.437], Test: [Loss: 1204.712, Acc: 34.709]
INFO:root:Epoch: 41, Train: [Loss: 1323.085, Acc: 36.383], Test: [Loss: 1201.625, Acc: 34.664]
INFO:root:Epoch: 42, Train: [Loss: 1316.132, Acc: 36.322], Test: [Loss: 1198.463, Acc: 34.619]
INFO:root:Epoch: 43, Train: [Loss: 1322.251, Acc: 36.268], Test: [Loss: 1195.231, Acc: 34.572]
INFO:root:Epoch: 44, Train: [Loss: 1311.379, Acc: 36.215], Test: [Loss: 1191.938, Acc: 34.524]
INFO:root:Epoch: 45, Train: [Loss: 1312.569, Acc: 36.159], Test: [Loss: 1188.572, Acc: 34.476]
INFO:root:Epoch: 46, Train: [Loss: 1302.739, Acc: 36.098], Test: [Loss: 1185.115, Acc: 34.425]
INFO:root:Epoch: 47, Train: [Loss: 1300.388, Acc: 36.045], Test: [Loss: 1181.571, Acc: 34.374]
INFO:root:Epoch: 48, Train: [Loss: 1300.477, Acc: 35.978], Test: [Loss: 1177.944, Acc: 34.321]
INFO:root:Epoch: 49, Train: [Loss: 1290.444, Acc: 35.917], Test: [Loss: 1174.234, Acc: 34.267]
INFO:root:Epoch: 50, Train: [Loss: 1281.093, Acc: 35.863], Test: [Loss: 1170.412, Acc: 34.211]
INFO:root:Epoch: 51, Train: [Loss: 1279.939, Acc: 35.799], Test: [Loss: 1166.479, Acc: 34.154]
INFO:root:Epoch: 52, Train: [Loss: 1276.240, Acc: 35.738], Test: [Loss: 1162.456, Acc: 34.095]
INFO:root:Epoch: 53, Train: [Loss: 1272.488, Acc: 35.669], Test: [Loss: 1158.369, Acc: 34.035]
INFO:root:Epoch: 54, Train: [Loss: 1262.485, Acc: 35.615], Test: [Loss: 1154.215, Acc: 33.974]
INFO:root:Epoch: 55, Train: [Loss: 1268.976, Acc: 35.549], Test: [Loss: 1150.009, Acc: 33.912]
INFO:root:Epoch: 56, Train: [Loss: 1260.508, Acc: 35.487], Test: [Loss: 1145.728, Acc: 33.849]
INFO:root:Epoch: 57, Train: [Loss: 1253.474, Acc: 35.415], Test: [Loss: 1141.401, Acc: 33.785]
INFO:root:Epoch: 58, Train: [Loss: 1257.957, Acc: 35.351], Test: [Loss: 1136.986, Acc: 33.719]
INFO:root:Epoch: 59, Train: [Loss: 1251.849, Acc: 35.290], Test: [Loss: 1132.521, Acc: 33.653]
INFO:root:Epoch: 60, Train: [Loss: 1240.848, Acc: 35.221], Test: [Loss: 1128.024, Acc: 33.586]
INFO:root:Epoch: 61, Train: [Loss: 1235.995, Acc: 35.157], Test: [Loss: 1123.477, Acc: 33.518]
INFO:root:Epoch: 62, Train: [Loss: 1230.901, Acc: 35.086], Test: [Loss: 1118.889, Acc: 33.450]
INFO:root:Epoch: 63, Train: [Loss: 1233.020, Acc: 35.016], Test: [Loss: 1114.258, Acc: 33.381]
INFO:root:Epoch: 64, Train: [Loss: 1228.489, Acc: 34.959], Test: [Loss: 1109.586, Acc: 33.310]
INFO:root:Epoch: 65, Train: [Loss: 1218.472, Acc: 34.882], Test: [Loss: 1104.869, Acc: 33.240]
INFO:root:Epoch: 66, Train: [Loss: 1215.112, Acc: 34.814], Test: [Loss: 1100.110, Acc: 33.168]
INFO:root:Epoch: 67, Train: [Loss: 1209.335, Acc: 34.748], Test: [Loss: 1095.326, Acc: 33.096]
INFO:root:Epoch: 68, Train: [Loss: 1197.055, Acc: 34.673], Test: [Loss: 1090.518, Acc: 33.023]
