INFO:root:Epoch: 1, Train: [Loss: 0.402, Acc: 0.633], Test: [Loss: 0.125, Acc: 0.341]
INFO:root:Epoch: 2, Train: [Loss: 0.550, Acc: 0.740], Test: [Loss: 0.694, Acc: 0.848]
INFO:root:Epoch: 3, Train: [Loss: 0.835, Acc: 0.914], Test: [Loss: 0.680, Acc: 0.816]
INFO:root:Epoch: 4, Train: [Loss: 0.867, Acc: 0.932], Test: [Loss: 0.487, Acc: 0.711]
INFO:root:Epoch: 5, Train: [Loss: 0.828, Acc: 0.912], Test: [Loss: 0.501, Acc: 0.703]
INFO:root:Epoch: 6, Train: [Loss: 1.236, Acc: 1.111], Test: [Loss: 1.404, Acc: 1.168]
INFO:root:Epoch: 7, Train: [Loss: 1.005, Acc: 1.002], Test: [Loss: 0.905, Acc: 0.956]
INFO:root:Epoch: 8, Train: [Loss: 1.010, Acc: 1.004], Test: [Loss: 0.991, Acc: 0.999]
INFO:root:Epoch: 9, Train: [Loss: 0.891, Acc: 0.945], Test: [Loss: 0.544, Acc: 0.725]
INFO:root:Epoch: 10, Train: [Loss: 0.854, Acc: 0.925], Test: [Loss: 0.602, Acc: 0.765]
INFO:root:Epoch: 11, Train: [Loss: 0.859, Acc: 0.928], Test: [Loss: 0.719, Acc: 0.835]
INFO:root:Epoch: 12, Train: [Loss: 0.719, Acc: 0.848], Test: [Loss: 0.789, Acc: 0.897]
INFO:root:Epoch: 13, Train: [Loss: 0.694, Acc: 0.834], Test: [Loss: 0.367, Acc: 0.605]
INFO:root:Epoch: 14, Train: [Loss: 0.640, Acc: 0.800], Test: [Loss: 0.573, Acc: 0.750]
INFO:root:Epoch: 15, Train: [Loss: 0.669, Acc: 0.817], Test: [Loss: 0.703, Acc: 0.851]
INFO:root:Epoch: 16, Train: [Loss: 0.651, Acc: 0.807], Test: [Loss: 0.397, Acc: 0.656]
INFO:root:Epoch: 17, Train: [Loss: 0.592, Acc: 0.769], Test: [Loss: 0.357, Acc: 0.594]
INFO:root:Epoch: 18, Train: [Loss: 0.567, Acc: 0.754], Test: [Loss: 0.527, Acc: 0.710]
INFO:root:Epoch: 19, Train: [Loss: 0.561, Acc: 0.749], Test: [Loss: 0.452, Acc: 0.690]
INFO:root:Epoch: 20, Train: [Loss: 0.538, Acc: 0.734], Test: [Loss: 0.585, Acc: 0.759]
INFO:root:Epoch: 21, Train: [Loss: 0.622, Acc: 0.790], Test: [Loss: 0.345, Acc: 0.571]
INFO:root:Epoch: 22, Train: [Loss: 0.537, Acc: 0.732], Test: [Loss: 0.504, Acc: 0.721]
INFO:root:Epoch: 23, Train: [Loss: 0.520, Acc: 0.722], Test: [Loss: 0.342, Acc: 0.591]
INFO:root:Epoch: 24, Train: [Loss: 0.431, Acc: 0.656], Test: [Loss: 0.416, Acc: 0.670]
INFO:root:Epoch: 25, Train: [Loss: 0.428, Acc: 0.655], Test: [Loss: 0.326, Acc: 0.570]
INFO:root:Epoch: 26, Train: [Loss: 0.439, Acc: 0.663], Test: [Loss: 0.359, Acc: 0.612]
INFO:root:Epoch: 27, Train: [Loss: 0.561, Acc: 0.748], Test: [Loss: 0.582, Acc: 0.770]
INFO:root:Epoch: 28, Train: [Loss: 0.414, Acc: 0.643], Test: [Loss: 0.363, Acc: 0.618]
INFO:root:Epoch: 29, Train: [Loss: 0.435, Acc: 0.659], Test: [Loss: 0.605, Acc: 0.734]
INFO:root:Epoch: 30, Train: [Loss: 0.498, Acc: 0.705], Test: [Loss: 0.480, Acc: 0.708]
INFO:root:Epoch: 31, Train: [Loss: 0.337, Acc: 0.581], Test: [Loss: 0.246, Acc: 0.511]
INFO:root:Epoch: 32, Train: [Loss: 0.409, Acc: 0.640], Test: [Loss: 0.333, Acc: 0.559]
INFO:root:Epoch: 33, Train: [Loss: 0.411, Acc: 0.641], Test: [Loss: 0.432, Acc: 0.652]
INFO:root:Epoch: 34, Train: [Loss: 0.325, Acc: 0.570], Test: [Loss: 0.237, Acc: 0.483]
INFO:root:Epoch: 35, Train: [Loss: 0.325, Acc: 0.570], Test: [Loss: 0.265, Acc: 0.498]
INFO:root:Epoch: 36, Train: [Loss: 0.345, Acc: 0.587], Test: [Loss: 0.340, Acc: 0.596]
INFO:root:Epoch: 37, Train: [Loss: 0.376, Acc: 0.612], Test: [Loss: 0.424, Acc: 0.639]
INFO:root:Epoch: 38, Train: [Loss: 0.264, Acc: 0.514], Test: [Loss: 0.239, Acc: 0.499]
INFO:root:Epoch: 39, Train: [Loss: 0.312, Acc: 0.559], Test: [Loss: 0.220, Acc: 0.470]
INFO:root:Epoch: 40, Train: [Loss: 0.289, Acc: 0.537], Test: [Loss: 0.268, Acc: 0.498]
INFO:root:Epoch: 41, Train: [Loss: 0.301, Acc: 0.549], Test: [Loss: 0.246, Acc: 0.499]
INFO:root:Epoch: 42, Train: [Loss: 0.249, Acc: 0.498], Test: [Loss: 0.353, Acc: 0.594]
INFO:root:Epoch: 43, Train: [Loss: 0.299, Acc: 0.547], Test: [Loss: 0.227, Acc: 0.470]
INFO:root:Epoch: 44, Train: [Loss: 0.249, Acc: 0.499], Test: [Loss: 0.328, Acc: 0.553]
INFO:root:Epoch: 45, Train: [Loss: 0.287, Acc: 0.535], Test: [Loss: 0.257, Acc: 0.501]
INFO:root:Epoch: 46, Train: [Loss: 0.229, Acc: 0.478], Test: [Loss: 0.188, Acc: 0.446]
INFO:root:Epoch: 47, Train: [Loss: 0.298, Acc: 0.546], Test: [Loss: 0.235, Acc: 0.500]
INFO:root:Epoch: 48, Train: [Loss: 0.266, Acc: 0.516], Test: [Loss: 0.122, Acc: 0.355]
INFO:root:Epoch: 49, Train: [Loss: 0.201, Acc: 0.449], Test: [Loss: 0.251, Acc: 0.494]
INFO:root:Epoch: 50, Train: [Loss: 0.265, Acc: 0.515], Test: [Loss: 0.214, Acc: 0.470]
INFO:root:Epoch: 51, Train: [Loss: 0.291, Acc: 0.540], Test: [Loss: 0.336, Acc: 0.557]
INFO:root:Epoch: 52, Train: [Loss: 0.263, Acc: 0.513], Test: [Loss: 0.208, Acc: 0.453]
INFO:root:Epoch: 53, Train: [Loss: 0.279, Acc: 0.527], Test: [Loss: 0.394, Acc: 0.626]
INFO:root:Epoch: 54, Train: [Loss: 0.296, Acc: 0.545], Test: [Loss: 0.210, Acc: 0.469]
INFO:root:Epoch: 55, Train: [Loss: 0.255, Acc: 0.505], Test: [Loss: 0.274, Acc: 0.512]
INFO:root:Epoch: 56, Train: [Loss: 0.249, Acc: 0.499], Test: [Loss: 0.237, Acc: 0.471]
INFO:root:Epoch: 57, Train: [Loss: 0.250, Acc: 0.499], Test: [Loss: 0.314, Acc: 0.548]
INFO:root:Epoch: 58, Train: [Loss: 0.215, Acc: 0.464], Test: [Loss: 0.179, Acc: 0.425]
INFO:root:Epoch: 59, Train: [Loss: 0.230, Acc: 0.480], Test: [Loss: 0.263, Acc: 0.489]
INFO:root:Epoch: 60, Train: [Loss: 0.203, Acc: 0.450], Test: [Loss: 0.193, Acc: 0.431]
INFO:root:Epoch: 61, Train: [Loss: 0.168, Acc: 0.410], Test: [Loss: 0.156, Acc: 0.390]
INFO:root:Epoch: 62, Train: [Loss: 0.205, Acc: 0.452], Test: [Loss: 0.280, Acc: 0.495]
INFO:root:Epoch: 63, Train: [Loss: 0.198, Acc: 0.445], Test: [Loss: 0.165, Acc: 0.402]
INFO:root:Epoch: 64, Train: [Loss: 0.180, Acc: 0.424], Test: [Loss: 0.165, Acc: 0.421]
INFO:root:Epoch: 65, Train: [Loss: 0.207, Acc: 0.455], Test: [Loss: 0.168, Acc: 0.391]
INFO:root:Epoch: 66, Train: [Loss: 0.193, Acc: 0.440], Test: [Loss: 0.158, Acc: 0.400]
INFO:root:Epoch: 67, Train: [Loss: 0.202, Acc: 0.450], Test: [Loss: 0.140, Acc: 0.374]
INFO:root:Epoch: 68, Train: [Loss: 0.207, Acc: 0.456], Test: [Loss: 0.159, Acc: 0.390]
INFO:root:Epoch: 69, Train: [Loss: 0.209, Acc: 0.457], Test: [Loss: 0.160, Acc: 0.405]
INFO:root:Epoch: 70, Train: [Loss: 0.193, Acc: 0.439], Test: [Loss: 0.125, Acc: 0.345]
INFO:root:Epoch: 71, Train: [Loss: 0.172, Acc: 0.415], Test: [Loss: 0.136, Acc: 0.380]
INFO:root:Epoch: 72, Train: [Loss: 0.161, Acc: 0.401], Test: [Loss: 0.137, Acc: 0.359]
INFO:root:Epoch: 73, Train: [Loss: 0.174, Acc: 0.417], Test: [Loss: 0.155, Acc: 0.390]
INFO:root:Epoch: 74, Train: [Loss: 0.163, Acc: 0.402], Test: [Loss: 0.197, Acc: 0.437]
INFO:root:Epoch: 75, Train: [Loss: 0.142, Acc: 0.377], Test: [Loss: 0.142, Acc: 0.368]
INFO:root:Epoch: 76, Train: [Loss: 0.142, Acc: 0.376], Test: [Loss: 0.150, Acc: 0.378]
INFO:root:Epoch: 77, Train: [Loss: 0.141, Acc: 0.375], Test: [Loss: 0.114, Acc: 0.337]
INFO:root:Epoch: 78, Train: [Loss: 0.153, Acc: 0.391], Test: [Loss: 0.106, Acc: 0.325]
INFO:root:Epoch: 79, Train: [Loss: 0.147, Acc: 0.383], Test: [Loss: 0.117, Acc: 0.340]
INFO:root:Epoch: 80, Train: [Loss: 0.139, Acc: 0.372], Test: [Loss: 0.128, Acc: 0.357]
INFO:root:Epoch: 81, Train: [Loss: 0.124, Acc: 0.353], Test: [Loss: 0.113, Acc: 0.318]
INFO:root:Epoch: 82, Train: [Loss: 0.123, Acc: 0.351], Test: [Loss: 0.118, Acc: 0.340]
INFO:root:Epoch: 83, Train: [Loss: 0.135, Acc: 0.367], Test: [Loss: 0.111, Acc: 0.315]
INFO:root:Epoch: 84, Train: [Loss: 0.133, Acc: 0.365], Test: [Loss: 0.093, Acc: 0.308]
INFO:root:Epoch: 85, Train: [Loss: 0.120, Acc: 0.347], Test: [Loss: 0.095, Acc: 0.314]
INFO:root:Epoch: 86, Train: [Loss: 0.124, Acc: 0.351], Test: [Loss: 0.138, Acc: 0.364]
INFO:root:Epoch: 87, Train: [Loss: 0.124, Acc: 0.352], Test: [Loss: 0.138, Acc: 0.377]
INFO:root:Epoch: 88, Train: [Loss: 0.107, Acc: 0.328], Test: [Loss: 0.100, Acc: 0.310]
INFO:root:Epoch: 89, Train: [Loss: 0.122, Acc: 0.350], Test: [Loss: 0.070, Acc: 0.275]
INFO:root:Epoch: 90, Train: [Loss: 0.120, Acc: 0.347], Test: [Loss: 0.067, Acc: 0.266]
INFO:root:Epoch: 91, Train: [Loss: 0.121, Acc: 0.348], Test: [Loss: 0.079, Acc: 0.278]
INFO:root:Epoch: 92, Train: [Loss: 0.117, Acc: 0.342], Test: [Loss: 0.104, Acc: 0.326]
INFO:root:Epoch: 93, Train: [Loss: 0.125, Acc: 0.354], Test: [Loss: 0.108, Acc: 0.331]
INFO:root:Epoch: 94, Train: [Loss: 0.122, Acc: 0.349], Test: [Loss: 0.129, Acc: 0.352]
INFO:root:Epoch: 95, Train: [Loss: 0.121, Acc: 0.348], Test: [Loss: 0.115, Acc: 0.334]
INFO:root:Epoch: 96, Train: [Loss: 0.123, Acc: 0.351], Test: [Loss: 0.105, Acc: 0.308]
INFO:root:Epoch: 97, Train: [Loss: 0.113, Acc: 0.336], Test: [Loss: 0.107, Acc: 0.329]
INFO:root:Epoch: 98, Train: [Loss: 0.105, Acc: 0.325], Test: [Loss: 0.096, Acc: 0.298]
INFO:root:Epoch: 99, Train: [Loss: 0.121, Acc: 0.348], Test: [Loss: 0.070, Acc: 0.266]
INFO:root:Epoch: 100, Train: [Loss: 0.097, Acc: 0.311], Test: [Loss: 0.078, Acc: 0.277]
INFO:root:Epoch: 101, Train: [Loss: 0.091, Acc: 0.301], Test: [Loss: 0.117, Acc: 0.341]
INFO:root:Epoch: 102, Train: [Loss: 0.107, Acc: 0.327], Test: [Loss: 0.121, Acc: 0.355]
INFO:root:Epoch: 103, Train: [Loss: 0.102, Acc: 0.320], Test: [Loss: 0.070, Acc: 0.255]
INFO:root:Epoch: 104, Train: [Loss: 0.105, Acc: 0.324], Test: [Loss: 0.070, Acc: 0.261]
INFO:root:Epoch: 105, Train: [Loss: 0.115, Acc: 0.339], Test: [Loss: 0.102, Acc: 0.325]
INFO:root:Epoch: 106, Train: [Loss: 0.126, Acc: 0.355], Test: [Loss: 0.097, Acc: 0.303]
INFO:root:Epoch: 107, Train: [Loss: 0.109, Acc: 0.330], Test: [Loss: 0.116, Acc: 0.330]
INFO:root:Epoch: 108, Train: [Loss: 0.105, Acc: 0.323], Test: [Loss: 0.115, Acc: 0.335]
INFO:root:Epoch: 109, Train: [Loss: 0.109, Acc: 0.330], Test: [Loss: 0.085, Acc: 0.291]
INFO:root:Epoch: 110, Train: [Loss: 0.105, Acc: 0.325], Test: [Loss: 0.058, Acc: 0.242]
INFO:root:Epoch: 111, Train: [Loss: 0.110, Acc: 0.332], Test: [Loss: 0.105, Acc: 0.326]
INFO:root:Epoch: 112, Train: [Loss: 0.084, Acc: 0.289], Test: [Loss: 0.078, Acc: 0.276]
