INFO:root:Epoch: 1, Train: [Loss: 23.134, Acc: 4.884], Test: [Loss: 9.250, Acc: 3.041]
INFO:root:Epoch: 2, Train: [Loss: 6.116, Acc: 2.426], Test: [Loss: 13.548, Acc: 3.681]
INFO:root:Epoch: 3, Train: [Loss: 9.433, Acc: 3.122], Test: [Loss: 3.229, Acc: 1.797]
INFO:root:Epoch: 4, Train: [Loss: 3.731, Acc: 1.897], Test: [Loss: 6.687, Acc: 2.586]
INFO:root:Epoch: 5, Train: [Loss: 7.159, Acc: 2.680], Test: [Loss: 4.959, Acc: 2.227]
INFO:root:Epoch: 6, Train: [Loss: 3.198, Acc: 1.813], Test: [Loss: 2.048, Acc: 1.431]
INFO:root:Epoch: 7, Train: [Loss: 2.656, Acc: 1.607], Test: [Loss: 2.976, Acc: 1.725]
INFO:root:Epoch: 8, Train: [Loss: 2.913, Acc: 1.698], Test: [Loss: 3.403, Acc: 1.845]
INFO:root:Epoch: 9, Train: [Loss: 3.090, Acc: 1.769], Test: [Loss: 3.701, Acc: 1.924]
INFO:root:Epoch: 10, Train: [Loss: 3.213, Acc: 1.796], Test: [Loss: 2.675, Acc: 1.636]
INFO:root:Epoch: 11, Train: [Loss: 2.317, Acc: 1.526], Test: [Loss: 2.637, Acc: 1.624]
INFO:root:Epoch: 12, Train: [Loss: 2.625, Acc: 1.632], Test: [Loss: 2.771, Acc: 1.665]
INFO:root:Epoch: 13, Train: [Loss: 2.525, Acc: 1.583], Test: [Loss: 2.639, Acc: 1.624]
INFO:root:Epoch: 14, Train: [Loss: 2.505, Acc: 1.597], Test: [Loss: 1.795, Acc: 1.340]
INFO:root:Epoch: 15, Train: [Loss: 1.689, Acc: 1.311], Test: [Loss: 1.175, Acc: 1.084]
INFO:root:Epoch: 16, Train: [Loss: 1.500, Acc: 1.232], Test: [Loss: 1.212, Acc: 1.101]
INFO:root:Epoch: 17, Train: [Loss: 1.471, Acc: 1.215], Test: [Loss: 1.177, Acc: 1.085]
INFO:root:Epoch: 18, Train: [Loss: 1.515, Acc: 1.227], Test: [Loss: 1.654, Acc: 1.286]
INFO:root:Epoch: 19, Train: [Loss: 1.745, Acc: 1.325], Test: [Loss: 1.979, Acc: 1.407]
INFO:root:Epoch: 20, Train: [Loss: 1.780, Acc: 1.346], Test: [Loss: 1.765, Acc: 1.329]
INFO:root:Epoch: 21, Train: [Loss: 1.521, Acc: 1.243], Test: [Loss: 1.732, Acc: 1.316]
INFO:root:Epoch: 22, Train: [Loss: 1.653, Acc: 1.293], Test: [Loss: 1.543, Acc: 1.242]
INFO:root:Epoch: 23, Train: [Loss: 1.360, Acc: 1.174], Test: [Loss: 1.598, Acc: 1.264]
INFO:root:Epoch: 24, Train: [Loss: 1.517, Acc: 1.230], Test: [Loss: 1.894, Acc: 1.376]
INFO:root:Epoch: 25, Train: [Loss: 1.745, Acc: 1.331], Test: [Loss: 1.466, Acc: 1.211]
INFO:root:Epoch: 26, Train: [Loss: 1.363, Acc: 1.175], Test: [Loss: 1.197, Acc: 1.094]
INFO:root:Epoch: 27, Train: [Loss: 1.497, Acc: 1.231], Test: [Loss: 1.366, Acc: 1.169]
INFO:root:Epoch: 28, Train: [Loss: 1.385, Acc: 1.186], Test: [Loss: 1.353, Acc: 1.163]
INFO:root:Epoch: 29, Train: [Loss: 1.403, Acc: 1.189], Test: [Loss: 1.449, Acc: 1.204]
INFO:root:Epoch: 30, Train: [Loss: 1.508, Acc: 1.229], Test: [Loss: 1.497, Acc: 1.223]
INFO:root:Epoch: 31, Train: [Loss: 1.353, Acc: 1.172], Test: [Loss: 1.202, Acc: 1.096]
INFO:root:Epoch: 32, Train: [Loss: 1.205, Acc: 1.102], Test: [Loss: 1.125, Acc: 1.061]
INFO:root:Epoch: 33, Train: [Loss: 1.435, Acc: 1.197], Test: [Loss: 1.308, Acc: 1.144]
INFO:root:Epoch: 34, Train: [Loss: 1.531, Acc: 1.246], Test: [Loss: 1.271, Acc: 1.127]
INFO:root:Epoch: 35, Train: [Loss: 1.287, Acc: 1.143], Test: [Loss: 1.251, Acc: 1.119]
INFO:root:Epoch: 36, Train: [Loss: 1.192, Acc: 1.096], Test: [Loss: 1.419, Acc: 1.191]
INFO:root:Epoch: 37, Train: [Loss: 1.226, Acc: 1.106], Test: [Loss: 1.515, Acc: 1.231]
INFO:root:Epoch: 38, Train: [Loss: 1.242, Acc: 1.119], Test: [Loss: 1.446, Acc: 1.203]
INFO:root:Epoch: 39, Train: [Loss: 1.260, Acc: 1.124], Test: [Loss: 1.494, Acc: 1.222]
INFO:root:Epoch: 40, Train: [Loss: 1.379, Acc: 1.179], Test: [Loss: 1.527, Acc: 1.236]
INFO:root:Epoch: 41, Train: [Loss: 1.381, Acc: 1.181], Test: [Loss: 1.277, Acc: 1.130]
